number_of_BBP,acoustic,fishing_net,behavior,beacon,date,number,net,audio_names,Buzz,Burst-pulse
5,AV+D,SSF,DEPL,DOL5,13/07/2020,10,SSF,SCW1807_20200713_063800,2,3
5,D,SSF,DEPL,DOL5,13/07/2020,10,SSF,SCW1807_20200713_063900,3,2
3,D+AP,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_064000,3,0
8,AV,F,DEPL,NC,13/07/2020,10,chalut_vert,SCW1807_20200713_064100,5,3
4,AV+D,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_064200,2,2
9,D+AP,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_064300,1,8
10,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_064400,4,6
8,T,F,DEPL,DOL5,13/07/2020,12,chalut_vert,SCW1807_20200713_064500,4,4
10,T,F,DEPL,DOL5,13/07/2020,12,chalut_vert,SCW1807_20200713_064600,9,1
0,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_064800,0,0
1,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_064900,1,0
1,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_065000,1,0
11,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_071900,8,3
10,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_072000,3,7
1,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_072100,0,1
0,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_072200,0,0
0,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_072300,0,0
2,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073200,2,0
13,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073300,6,7
4,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073400,2,2
5,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073500,4,1
12,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073600,5,7
10,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073700,9,1
5,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073800,4,1
5,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073900,3,2
0,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_074000,0,0
