Fichier Audio,Date,Heure (UTC),T,AV,AV+D,D,D+AP,AP,AP+AV,F,SSF,NSP,CHAS,SOCI,DEPL,SONAR,SIGNAL
13072020/SCW1807_20200713_094800.wav,13/07/2020,9:48,1,0,0,0,0,0,0,0,0,1,0,1,0,0,DOL5
13072020/SCW1807_20200713_114200.wav,13/07/2020,11:42,0,1,0,0,0,0,0,0,0,1,0,0,1,0,DOL7
13072020/SCW1807_20200713_114300.wav,13/07/2020,11:43,0,0,0,1,0,0,0,0,0,1,0,0,1,0,DOL7
13072020/SCW1807_20200713_114400.wav,13/07/2020,11:44,0,0,0,0,1,0,0,0,0,1,0,0,1,0,DOL7
13072020/SCW1807_20200713_114900.wav,13/07/2020,11:49,0,0,1,0,0,0,0,0,0,1,0,0,1,1,DOL7
13072020/SCW1807_20200713_115000.wav,13/07/2020,11:50,0,0,0,1,0,0,0,0,0,1,0,0,1,1,DOL7
13072020/SCW1807_20200713_115100.wav,13/07/2020,11:51,0,0,0,1,0,0,0,0,0,1,0,0,1,1,DOL7
13072020/SCW1807_20200713_115200.wav,13/07/2020,11:52,0,0,0,1,0,0,0,0,0,1,0,0,1,1,DOL7
14072020/SCW1807_20200714_064200.wav,14/07/2020,6:42,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL3
14072020/SCW1807_20200714_064300.wav,14/07/2020,6:43,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL3
14072020/SCW1807_20200714_064400.wav,14/07/2020,6:44,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL3
14072020/SCW1807_20200714_085600.wav,14/07/2020,8:56,1,0,0,0,0,0,0,0,0,1,0,0,1,0,NC
14072020/SCW1807_20200714_085700.wav,14/07/2020,8:57,1,0,0,0,0,0,0,0,0,1,0,0,1,0,NC
14072020/SCW1807_20200714_085800.wav,14/07/2020,8:58,1,0,0,0,0,0,0,0,0,1,0,0,1,0,NC
14072020/SCW1807_20200714_090200.wav,14/07/2020,9:2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,NC
14072020/SCW1807_20200714_090300.wav,14/07/2020,9:3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,NC
